200.0, 0.0; -36.0080605082, -491.658066746, -95.4733775102, -3222.08454154, -7641.01716693, -125.167700275, 33.4678992201, -282.980233906, -29.6994387216, -374.856851856, -9.69359052872, -9.2316483452, -54.795369914, -2.09674949933, -17.2243954064, -65.1013651134, -24.4875804149, -60.6045394493, -84.4084131215, -53.0492380599
199.000833056, 19.9666833294; -4.93926297843, -460.589269217, -63.3545799805, -3191.01574401, -7609.9483694, -94.098902745, 14.8940599805, -301.554073146, 42.0699983211, -343.788054326, -11.1782140568, -7.03027594439, -52.5939975132, 8.08193716318, -34.5586237001, -64.6525378077, -24.7339464612, -60.9222868674, -63.3632759739, -25.0398637834
196.013315568, 39.733866159; -3.44063749307, -460.589269217, -63.3545799805, -3189.69503975, -7610.36965413, -93.4412070411, 15.4993137413, -302.151126507, 40.6868386394, -345.098500102, -11.3141576623, -7.4492372835, -52.3196333482, 8.30394841531, -34.2148526817, -64.3162517568, -24.9623013714, -61.1141963625, -63.3753956968, -25.388088608
191.067297825, 59.1040413323; -3.5298447542, -460.678476478, -63.4437872416, -3189.78424701, -7610.45886139, -93.6307073543, 15.4355420241, -302.82155117, 40.1958409958, -345.694549606, -11.3141576623, -7.46020123499, -52.2882387652, 8.16614694975, -33.2249120286, -64.3278608039, -24.8990136866, -61.1257749298, -63.3580070808, -25.3628711838
184.212198801, 77.8836684617; -25.6450698989, -477.190271545, -95.1781047787, -3213.64985071, -7656.07867597, -130.52747223, 1.34672619265, -355.380914972, -0.15924040206, -440.286977781, -13.2069154203, -10.2701206788, -55.2208737651, 3.43858642521, -36.5880625435, -60.6816587129, -25.9971221171, -61.8906916385, -68.0270364479, -17.0766553729
175.516512378, 95.8851077208; -25.6450698989, -477.190271545, -95.1781047787, -3213.64985071, -7656.07867597, -130.52747223, 1.34672619265, -355.380914972, -0.15924040206, -440.286977781, 29.8252448744, 32.7620396159, -12.1887134704, 46.4707467199, -36.4830625435, -60.6816587129, -7.62187760364, -43.515447125, -49.6517919345, 1.50826644634
165.067122982, 112.928494679; -25.6450698989, -477.190271545, -95.1781047787, -3213.64985071, -7656.07867597, -130.52747223, 1.34501322984, -355.380914972, -242.593110386, -440.286977781, 27.8539685615, 8.20200686316, -11.6171800119, 45.007013839, -58.8320635769, -60.6464567955, -5.36178180432, -67.8883973569, -49.0592226519, -8.25154441627
152.968437457, 128.843537448; -25.6450698989, -477.190271545, -95.1781047787, -3213.64985071, -7656.07867597, -130.52747223, -8.55154370515, -355.380914972, -254.965059583, -440.286977781, 27.8539685615, 8.20200686316, -11.8549164263, 44.806727391, -59.0323500249, -61.0472672982, -5.58101792926, -68.1598367467, -49.2935754051, -8.61727891899
139.341341869, 143.47121818; -25.9839941817, -477.492429265, -95.1889649786, -3213.82838638, -7656.41088048, -130.872118771, -8.83842747534, -355.640398146, -255.287180152, -440.290752229, 27.8663405841, 8.20091761866, -11.8520098867, 44.8221983643, -59.027751579, -61.0502544824, -5.58240953601, -68.1464833237, -38.7851929274, -8.6115084163
124.321993654, 156.665381925; -25.9839941817, -477.492429265, -95.1889649786, -3213.82838638, -7656.41088048, -130.872118771, -8.83842747534, -355.640398146, -255.287180152, -440.290752229, 27.7149929057, 8.04956994026, -13.8146547315, 42.8582474795, -60.9917024639, -61.0502544824, 130.2056927, 52.7128039061, -39.4040489612, -9.08287067997
108.060461174, 168.294196962; -25.9839941817, -477.492429265, -84.6889649786, -3213.82838638, -7656.41088048, -130.872118771, -8.83842747534, -355.640398146, -255.287180152, -440.290752229, 27.7149929057, 8.04956994026, -13.8146547315, 42.8582474795, -60.9917024639, -61.0502544824, 130.2056927, 52.7128039061, -39.4040489612, -9.08287067997
90.7192242851, 178.241472012; -201.116572251, -836.031256535, -413.922860943, -3637.06647457, -8033.22501481, -318.993320164, -5.18494701818, -469.336857892, -660.539181229, -437.483684429, -4.9908837711, 10.2308939087, -34.7356419304, 4.52129152974, -55.6646398801, -46.559963025, 127.651292485, 93.5291575895, -77.0775438065, -47.8128150938
72.4715508953, 186.407817193; -200.402613401, -835.317297686, -413.817860943, -3637.06647457, -8033.22501481, -318.279361315, -4.47098816856, -469.336857892, -772.020619033, -548.568113365, -1.93296583444, 13.4127138372, -31.5827357819, 7.67419767822, -51.6616924785, -45.2693114206, 130.496955778, 96.3748208827, -74.2318805133, -44.9671518005
53.4997657249, 192.711637083; -200.402613401, -835.317297686, -413.817860943, -3637.06647457, -8033.22501481, -318.279361315, -4.47098816856, -469.336857892, -772.020619033, -548.568113365, -1.93296583444, 13.4127138372, -31.5827357819, 7.67419767822, -51.6616924785, -45.2693114206, 131.546955778, 96.3748208827, -74.2318805133, -44.9671518005
33.99342858, 197.089945998; -47.322481776, -493.934899007, -176.56913146, -3287.99323731, -7643.99240179, -115.747324237, 62.3961873225, -291.565438858, -33622.117332, -33855.1839699, -9.69514332062, -9.23551066619, -54.7980053886, -2.13675349635, -17.3159170589, -65.1032544456, -13.9929822373, -60.6073593902, -84.4094946325, -52.9439203691
14.1474403335, 199.498997321; -47.3322673664, -493.77343884, -176.557309501, -3287.81732573, -7643.39091875, -115.707926565, 62.544233671, -290.916670712, -33622.1156443, -33854.5969868, -9.69359052872, -9.2316483452, -54.795369914, -2.09674949933, -17.2243954064, -65.1013651134, -24.4875804149, -60.6045394493, -84.4084131215, -52.9442380599
-5.83990446026, 199.914720608; -46.0142204604, -492.455391934, -264.694953918, -3287.81732573, -7634.1253026, -202.044915056, 7.84293441727, -289.957035881, -33934.2399205, -34166.721263, -9.67754389019, -9.74323300123, -56.1114506879, -3.12918702044, -21.423293354, -66.0860377297, -24.7832235832, -56.1587865756, -80.0195074456, -38.3579240668
-25.7688988591, 198.33296209; -46.2782646807, -492.719436154, -264.958998139, -3287.81732573, -7634.1253026, -202.044915056, 7.84293441727, -289.957035881, -33934.2399205, -34166.721263, -9.67754389019, -9.74323300123, -56.1114506879, -3.12918702044, -21.318293354, -66.0860377297, -24.5652334481, -56.1662672093, -80.0298600645, -38.3654047005
-45.4404189386, 194.769526176; -46.278316369, -492.719432244, -264.959013511, -3287.8174645, -7634.12544137, -202.044948943, 7.84290052998, -289.95706615, -33934.2400593, -34166.721263, 0.82247664687, -9.74323567137, -56.1114337804, -3.12917365102, -21.3182859175, -66.0860533258, -24.5652356109, -56.1663330268, -80.030001993, -38.3656702391
-64.6579133727, 189.260017537; -46.278316369, -492.719432244, -264.959013511, -3286.7674645, -7634.12544137, -202.044948943, 7.84290052998, -289.95706615, -33934.2400593, -34166.721263, 0.82247664687, -9.74323567137, -56.1114337804, -3.12917365102, -21.3182859175, -66.0860533258, -24.5652356109, -56.1663330268, -80.030001993, -38.3656702391
-83.2293673094, 181.859485365; -46.2783915045, -492.719608466, -264.959168853, -3286.76757623, -7634.12559259, -202.04500633, 7.84284309056, -289.957124098, -33934.2401223, -34166.7213233, 0.822476210637, -9.74326210596, -56.111462438, -3.12923251001, -21.3183454315, -55.5860440559, -24.5652338756, -56.1664043276, -80.0301557565, -38.3656693331
-100.96922092, 172.64187333; -46.3022157044, -492.790375577, -265.017558121, -3286.81212095, -7634.17991855, -202.060559395, 7.82524854132, -289.972224047, -33934.2576459, -34166.7391552, 0.82284545954, -9.73989177171, -56.1110737009, -3.14763970324, -10.8361513523, -55.5854451912, -24.5642089895, -56.188364338, -80.0793912213, -38.4140152525
-117.700223451, 161.699280764; -112.32686252, 15.2434078483, 7.78727684733, -18.4968013179, 60.693206247, 59.8590320838, 79.5503172954, -97.8334840596, 77.6427260529, -65.737301114, -32.1879877604, -3.9422992544, -82.4527438729, 13.9708189853, -134.950727669, 11.0284171749, -90.0698113228, -7.05394499105, -71.0754927612, -3.55802292283
-133.255204256, 149.141042435; -112.326742062, 15.2435288213, 7.78740074431, -18.4966826977, 60.693326391, 59.8591547513, 79.5504385804, -97.8333648989, 77.6428478136, -65.7371862342, -32.1879875211, -3.94229635392, -82.4527330258, 13.9708150294, -134.950732243, 11.0284193919, -90.0698118089, -17.5539506659, -71.0754613948, -3.55796557367
-147.478743108, 135.09263611; -111.921986981, 15.7423610922, 8.30092878185, -18.0180001282, 60.1234510693, 60.2771981424, 79.751714838, -97.4519123943, 78.1454794587, -65.2259872924, -32.1889078027, -3.96199594465, -82.3668726927, 14.0566753625, -134.864348091, 11.026610463, -90.0603149234, -17.6021100815, -71.1206115819, -3.60148185786
-160.228723109, 119.694428821; -111.921986981, 15.7423610922, 8.30092878185, -18.0180001282, 60.1234510693, 60.2771981424, 79.751714838, -97.4519123943, 78.1454794587, -65.2259872924, -32.1889078027, -3.96199594465, -82.3668726927, 14.0566753625, -134.864348091, 11.026610463, -90.0603149234, -17.6021100815, -71.1206115819, -3.60148185786
-171.377750674, 103.100274364; -111.921884301, 15.7424625795, 8.30103054732, -18.0179001148, 60.1235562859, 60.2772995046, 79.7518131675, -97.4518117346, 78.1455833962, -65.2258887946, -32.188905609, -3.96198864228, -82.3668396864, 14.0566746372, -134.8643348, 0.52660402167, -90.0603208568, -17.6020991733, -71.1205931689, -3.60147654796
-180.814428403, 85.4759760468; -136.480597239, 12.8677882625, -6.43701876909, -19.0168671857, 52.0262695825, -6.02878602396, 65.0882557508, -127.62720746, 68.9293884339, -75.6213201876, -31.1721675303, -3.90154644867, -81.8025925209, 14.7248173882, -134.536317745, 0.785564915849, -89.7745142874, -18.1859480544, -116.361497365, -38.3608738438
-188.444468134, 66.9976300312; -146.980597239, 12.8677882625, -6.43701876909, -19.0168671857, 52.0262695825, -6.02878602396, 65.0882557508, -127.62720746, 68.9293884339, -75.6213201876, -31.1721675303, -3.90154644867, -81.8025925209, 14.7248173882, -134.536317745, 0.785564915849, -89.7745142874, -18.1859480544, -116.361497365, -38.3608738438
-194.19163303, 47.8498658428; -32.4743932224, 107.814321437, 20.1832888564, 122.864855646, 61.1259462775, -8.03221400857, 85.0460438038, 49.642315482, 100.051475632, 67.3200174181, -25.38997401, 5.63574049123, -50.8078245491, 19.9439243686, -7.48622085003, 14.6271158581, 1.36915688427, 12.744739499, -6.57995859711, -9.21767137065
-197.99849932, 28.224001612; -32.4743932224, 107.814321437, 20.1832888564, 122.864855646, 61.1259462775, -8.03221400857, 85.0460438038, 49.642315482, 100.051475632, 67.3200174181, -25.38997401, 5.63574049123, -50.8078245491, 19.9439243686, -7.48622085003, 14.6271158581, 1.36915688427, 2.24473949901, -6.57995859711, -9.21767137065
-199.827030055, 8.31613248666; -52.1384334999, 103.989146415, 14.9695406165, 89.9997168012, 58.0303541056, -50.7787651755, 100.886992007, 30.2347318, 100.340306187, 83.2843318311, -33.8996406426, -24.8413854533, -55.7967009175, -27.7716166407, -20.817615178, 5.0332533903, -7.17985084317, -12.859148392, -25.0598058017, -25.3165031529
-199.658955159, -11.6748286855; -77.1660004755, 75.6985151691, -14.1962533526, 61.6173887688, 28.8041783496, -81.1598346547, 96.0519394753, -1.21649705201, 79.4522364102, 58.687525507, -33.9596369474, -22.9563009574, -55.7072194399, -26.8124037719, -19.7721050792, 4.63355288348, -8.10023018796, -11.6381304773, -23.9377301213, -24.5694847309
-197.495953982, -31.5491388286; -77.1666213342, 76.280956862, -13.3591731992, 63.0043999657, 31.9597704557, -79.7340626167, 96.6683359019, -2.49283489858, 80.2708695576, 44.3936855013, -33.9596369474, -22.9563009574, -56.1952310858, -27.3004154178, -15.4561940902, 4.23627389781, -8.49896656367, -12.036870585, -21.411998404, -20.5240350118
-193.359638516, -51.1082204054; -77.1396445384, 76.3079336578, -13.3321964033, 62.6819123677, 31.2798350056, -79.7070858209, 96.6912069343, -2.46585810273, 80.2978463535, 44.4206622971, -33.9596369474, -22.9563009574, -56.1952310858, -26.5787430365, -15.4561940902, 4.23627389781, -8.49873455135, -12.0366380996, -21.4249068586, -20.4324297606
-187.291337458, -70.1566455379; -214.390696478, -257.444894804, -312.182804487, -70.0546602195, -63.7195762444, -343.761866576, -177.284182142, -131.87426427, -104.129926624, -201.599720576, -38.3488500498, -24.6314066083, -56.7568527821, -24.3186925741, -19.5503575338, -0.30108390354, -9.51787593064, -13.1695028338, -20.9612049611, -18.8750028119
-179.351683267, -88.504088659; -218.801898046, -260.689146384, -314.637589913, -70.8816004302, -66.0244514637, -347.231651918, -177.26741828, -136.08972242, -105.470830385, -205.017968017, -38.3488500498, -24.6314066083, -56.7568527821, -24.320405068, -19.5520700277, -0.30108390354, -9.51787593064, -13.1695028338, -20.9612049611, -18.8750028119
-169.620006342, -105.967228182; -220.817950709, -252.260082636, -315.117555255, -70.9023162366, -68.8766661271, -350.197257483, -177.531713242, -136.681150538, -108.189139184, -205.409760332, -38.3488500498, -24.6867517218, -56.7793732687, -24.320405068, -19.5520700277, -0.30108390354, -9.51787593064, -13.1695028338, -20.9612049611, -18.8767008383
-158.193542383, -122.371578189; -629.350825267, -347.325751177, -397.214831564, -90.2094649887, -84.8710392239, -350.197257483, -205.089277485, -564.937010884, -312.854253055, -294.233161946, -38.3488500498, -24.6867517218, -56.7793732687, -24.320405068, -19.5520700277, -0.30108390354, -9.51787593064, -13.1695028338, -20.9612049611, -18.8767008383
-145.18646084, -137.553231837; -49.7467603856, -3154.48344545, -1383.54440711, -3076.790737, -21309.7877642, 27.2460784035, 16.5432770031, -575.273763705, -1757.67579066, -6100.37890271, 47.7313003569, 71.2457984143, 87.7360000504, 103.799907889, 39.1848894353, 6.01000320199, -39.1898636803, 49.7693593955, -177.943921585, -137.48266112
-130.728724173, -151.360499062; -49.7517314198, -3154.48841648, -1387.11775141, -3076.790737, -21309.7877642, 23.6727340981, 16.5383059689, -578.84710801, -1757.68076169, -6100.37890271, 47.7313003569, 71.2457984143, 87.7360000504, 103.799907889, 39.1812203454, 6.01000320199, -39.1898636803, 49.7908696945, -21.449696718, 4.84990299983
-114.964789307, -163.655422213; -49.7516890721, -3154.48837485, -1387.11773124, -3076.79071042, -21309.7877447, 23.6727642279, 16.5383098906, -578.847073579, -1757.68072532, -6100.37889897, 47.7313005208, 71.2457970904, 77.2359974929, 103.799906006, 39.1812284257, 6.0100033514, -39.1898645106, 49.7908712941, -21.4496812833, 4.84991432986
-98.0521642681, -174.315154483; -14.4569701201, -3168.17476652, -1378.60359533, -3150.8282242, -21344.0812842, -22.2941313659, 33.1578307543, -560.870193843, -1814.68360158, -6141.80331554, 0.534067090568, -10.5293584571, -3.98475807316, 16.0571918079, -35.0613931118, -3.47466014986, -33.547473033, -18.803914955, -29.7817180956, -20.1540891434
-80.159834416, -183.23318735; -10.240320005, -3164.63200434, -1375.03659795, -3147.27149941, -21344.7306974, -25.2718408572, 37.3027242105, -557.765770503, -1820.82589426, -6138.43576168, 0.534067090568, -11.5553673331, -4.75776166594, 32.2728816599, -17.1924091238, -4.5006690258, -33.5241112695, -18.6673530068, -28.5322840891, -16.0821943197
-61.4665739957, -190.320414778; -223.031267708, -3377.42295204, -1587.82754565, -3147.27149941, -21344.7306974, -238.062788561, -175.488223493, -770.556718207, -1820.82589426, -6138.43576168, 0.534067090568, -11.5553673331, -4.75776166594, 32.2728816599, -17.1924091238, -4.5006690258, -33.5241112695, -18.6673530068, -28.5322840891, -16.0926943197
-42.1591598862, -195.506023533; -223.031267708, -3377.42295204, -1587.82754565, -3147.27149941, -21344.7306974, -238.062788561, -175.488223493, -771.606718207, -1820.82589426, -6138.43576168, 0.534067090568, -11.5553673331, -4.75776166594, 32.2728816599, -17.1924091238, -4.5006690258, -33.5241112695, -18.6673530068, -28.5322840891, -16.0926943197
-22.430505387, -198.738200727; -217.51699722, -3366.45985627, -1600.26087299, -3142.90891252, -21338.3146907, -228.260688658, -184.298112282, -777.300821528, -1820.55223248, -6138.95774196, 1.43853035217, -11.4067640807, -8.12152047305, 26.7528940384, -23.3406031846, -5.10342709599, -23.179686435, -19.7476890835, -29.6398029413, -25.8826188855
-2.47773269258, -199.984651513; -371.924146244, -3495.44131676, -1618.62986088, -3356.53967983, -21347.5575971, -349.545617834, -277.43839488, -880.678473172, -1788.36041939, -5980.92266487, -10.3877964733, -78.8058546874, -589.169108419, -10.8875912611, -111.56194719, -5.10342709599, -83.6082130603, -118.160419159, -174.742626177, -281.849842469
17.4997966879, -199.232921767; -528.736758817, -3652.25392933, -1775.44247345, -3356.53967983, -21347.5575971, -506.358230407, -434.251007453, -1037.49108575, -1945.17303196, -6137.73527744, -10.3877964733, -78.8058546874, -589.169108419, -10.8875912611, -111.56194719, -5.10342709599, -83.6082130603, -118.160419159, -174.742626177, -281.744842469
37.3024738845, -196.490522525; -12.7772836528, -3617.08220876, -1749.78141208, -3296.50856215, -21287.5264794, -517.04435485, -407.103354241, -975.144952583, -1657.17532418, -5967.26195971, -10.3877964733, -78.8058546874, -589.169108419, -120.305595297, -229.94496809, -5.10342709599, -83.6082130603, -107.660419159, -174.742626177, -391.162846505
56.7324370926, -191.784854933; -10387.4126903, -13991.7176154, -12124.4168187, -4489.0850678, -22480.1029851, -332.095949351, -222.154948742, -2167.72145823, -1657.17532418, -18517.5043023, -10.3877964733, -78.8058546874, 416.939571554, -120.305595297, -229.94496809, -5.10342709599, -83.6082130603, -107.660419159, -173.692626177, -391.162846505
75.5955485426, -185.162936466; -10332.3404424, -13936.6453675, -12026.8173422, -4587.80268177, -22294.4839459, -248.811569297, 375.821603741, -2115.87077422, -1757.68787667, -18757.7843547, 20.7938209253, -48.712323859, 200.348669724, -281.039274295, -523.353065371, 5.37553767503, -82.9188606489, -326.358502687, -239.993348146, -338.302074717
93.7033342601, -176.690931144; -10332.3404424, -24333.626649, -22423.7986237, -14984.7839632, -32691.4652274, -248.811569297, 375.821603741, -2115.76577422, -1757.68787667, -18757.7843547, 20.7938209253, -48.712323859, -7827.46678698, 435.725252755, 278.493273966, 5.37553767503, -82.9188606489, -326.358502687, -239.993348146, -338.302074717
110.874867236, -166.453488445; -10339.326461, -24335.8997508, -22425.9668946, -14983.923332, -32693.6334982, -248.348427309, 376.28474573, -2115.15702739, -1759.03091521, -18764.7703733, 20.7938209253, -48.712323859, -7827.37048888, 426.192148447, 284.028135169, 5.37553767503, -82.9188606489, -326.358502687, -239.993348146, -338.205776626
126.938575189, -154.552897511; -10339.326461, -24335.8997508, -22425.9668946, -14983.923332, -29830.1383945, -17382.3744899, -16757.7413169, -19249.18309, -11971.2290151, -16562.9126069, 20.7938209253, -48.712323859, -7827.37048888, 494.728684029, 313.356396331, 5.37553767503, -82.9188606489, -326.358502687, -239.993348146, -338.205776626
141.733954858, -141.108065114; -10327.180026, -24323.7533158, -22425.9668946, -14993.980819, -29862.1892988, -17371.93881, -16737.741778, -19249.18309, -11968.5436452, -16559.5573502, 20.7938209253, -48.712323859, -7817.025585, 520.792369067, 297.537288147, 5.37553767503, -82.9188606489, -326.358502687, -239.993348146, -352.546220211
155.113175702, -126.253327574; -10329.6405529, -24326.2138427, -22428.4274214, -15002.4170799, -29870.6255597, -17376.0499084, -16741.8528764, -19246.104975, -11971.2073679, -16566.9792352, 20.7938209253, -48.712323859, -7817.025585, 519.836477951, 295.082632109, 5.37553767503, -82.9188606489, -326.358502687, -239.993348146, -352.546220211
177.103903388, -92.9204358828; -67.5062978083, -523.706745905, -107.992183113, -3230.21209713, -7775.45298991, -145.086850801, -88.5071778497, -299.276986267, -237.243345173, -390.588028533, -10.5524693479, -11.9956595738, -52.9353016248, 79.2622846592, 66.0738280939, -147.304361692, -109.00224142, -153.836693695, 105.610312987, 106.901176307
185.495686149, -74.775332966; -53.5408387926, -520.162797784, -118.584648856, -3228.22546103, -7663.17487157, -147.576701464, 32.3319846905, -294.028896227, -134.678128253, -391.495335517, -6.80604987147, -6.27355750338, -52.0062757959, 85.2899565844, 64.9325346162, -146.161062704, -104.751149747, -144.136660134, 108.41592131, 116.797621686
192.03405733, -55.8830996398; -53.5408387926, -520.162797784, -118.584648856, -3228.22546103, -7663.17487157, -147.576701464, 32.3319846905, -294.028896227, -134.678128253, -391.495335517, -6.8059061145, -6.27341374641, -52.0061320389, -0.4051174083, -20.7434398714, -63.4527706851, -22.042868696, -63.2702849652, 151.608488743, 178.180628207
196.653687689, -36.4325008544; -53.5408387926, -520.162797784, -118.584648856, -3228.22546103, -7663.17487157, -147.576701464, 32.3319846905, -294.028896227, -134.678128253, -391.495335517, -6.8059061145, -6.27341374641, -52.0061320389, -0.5101174083, -20.7434398714, -63.4527706851, -22.042868696, -63.2702849652, -80.2937754397, -53.7216359755
199.308419405, -16.6178805635; -54.0975044937, -509.747510732, -113.562821496, -3240.17398552, -7659.10661092, -143.25714426, 32.260568305, -285.237564821, -137.100199924, -392.946295841, -8.08735485349, -7.62541266996, -53.1891342388, -2.14021605719, -23.2008641688, -63.4912678301, -22.9455731672, -64.1105067625, -81.4003660779, -54.9634537874
