200.0, 0.0; -672.924012055, -1011.11346435, -1118.24284184, -1227.07494263, -1154.18706937, 38.3956004173, -1162.93218481, -1168.12971687, -1072.07891692, -1092.09648914, -13.1051622744, -38.1771344575, -46.2819264997, -42.0211627496, 72.8539549243, -50.3392055742, 0.190792163914, -35.0623387514, 11.2629486292, 105.067263674
199.000833056, 19.9666833294; -673.487980534, -958.452880425, -983.826734196, -1328.64809642, -547.675734957, 170.944603443, -1522.31110212, -730.293707829, -861.986620254, -702.90137846, -12.0183323178, -36.9963357754, -10.0990179551, 10.3478828495, 127.28189113, -48.9373821369, 1.30210319134, -33.8219917537, 10.8579415347, -228.710229969
196.013315568, 39.733866159; -776.70353706, -1009.42778669, -1068.30868033, -1412.73318155, -595.210074469, 126.171264386, -1557.3215381, -806.456890362, -881.091157778, -759.96528444, -38.5337838733, -61.0544422048, 4.60220794477, 64.3376642068, 71.1344780426, -73.6543806008, 11.828536788, 23.9384482426, -75.9626889207, -277.94143065
191.067297825, 59.1040413323; -776.703495081, -1136.08193977, -1169.87620416, -1539.38731283, -721.864249932, 126.171257564, -1683.97566156, -759.113314404, -875.222478008, -886.619450998, -38.5337817934, -61.0544389076, 4.60220769318, 64.3376607264, -33.9460807733, -73.6543766226, 11.8285361458, 23.9384469459, -83.7661929884, -281.01592141
184.212198801, 77.8836684617; -781.650202976, -1166.35522947, -1203.03958037, -1555.38586969, -732.336443077, 142.367264189, -1657.73672569, -804.027365502, -865.271135516, -881.465103198, -36.025430729, -52.8211570329, 21.9383368457, 68.4480624254, -81.2847265457, -68.7112226629, 18.883419361, 39.6839010389, -67.9345396674, -284.122959754
175.516512378, 95.8851077208; -780.600202976, -1166.35522947, -1203.03958037, -1555.38586969, -732.336443077, 142.367264189, -1657.73672569, -804.027365502, -865.271135516, -881.465103198, -36.025430729, -52.8211570329, 21.9383368457, 68.4480624254, -81.2847265457, -68.7112226629, 18.883419361, 39.6839010389, -67.9345396674, -284.122959754
165.067122982, 112.928494679; -774.652130041, -1165.22954289, -1204.47916494, -1557.1185352, -730.256293545, 154.132382875, -1656.05609701, -800.326388794, -863.537462723, -877.719133969, -37.4833240754, -51.4284239579, 33.1001868484, 69.8686445825, -81.934957171, -68.8170016208, 19.4255503143, 42.195531441, -62.3579476761, -280.286705541
152.968437457, 128.843537448; -774.652130041, -1165.22954289, -1204.47916494, -1557.1185352, -730.256293545, 154.132382875, -1656.05609701, -800.326388794, -863.537462723, -867.219133969, -37.4833240754, -51.4284239579, 33.1001868484, 69.8686445825, -81.934957171, -68.8170016208, 19.4255503143, 42.195531441, -62.3579476761, -280.286705541
139.341341869, 143.47121818; -597.361557868, -376.914179571, -299.826553814, -121.36653377, 0.770623009602, -913.398462662, 1020.26131724, -169.265020605, 201.911415557, -249.30096097, 23.191833334, -1.09833523432, -79.1433363759, -234.192238334, -0.742316486435, 58.5815164513, -11.8541208569, 367.473622635, 223.814310122, -514.932197447
124.321993654, 156.665381925; -594.281974509, -376.678751347, -299.67177411, -118.37403656, 7.85614643494, -913.088709377, 1023.13208948, -166.363876181, 204.545416135, -246.504085084, 23.2966392006, -0.945025440164, -78.9953236948, -233.971671999, -0.538457534703, 58.7671167694, -12.6179601196, 370.302206009, 226.975369241, -514.391886539
108.060461174, 168.294196962; -673.182179367, -254.802001886, -296.629682989, -202.603165729, 47.6398996681, -909.310932491, 1047.59005501, -192.525391397, 293.054658582, -308.298548775, 35.7773171908, -32.893682296, -136.824320675, -238.397454651, 10.1511756201, 36.2388719349, -15.5473548234, 325.285850094, 199.284720847, -619.985257468
90.7192242851, 178.241472012; -615.281851542, -216.524665793, -303.806393825, -158.854752931, 102.826744516, -858.048755475, 1039.5693956, -202.399757613, 310.415220447, -305.866986713, 1.22540298347, 25.8104064134, -62.4314559518, -154.905357603, 34.1793636378, 39.0400966776, -30.4953646677, 289.399249697, 151.354800574, -648.136510875
72.4715508953, 186.407817193; -493.536306648, -98.1072814295, -217.809667823, -240.026377281, 77.59425056, -742.544748941, 989.836888782, -105.862473381, 316.751957017, -302.315601408, -39.3094425682, -63.928244177, -42.2603149749, -151.483022042, 10.6383636048, -55.7749176642, -63.7802026524, 244.37985258, 186.035071636, -667.972074702
53.4997657249, 192.711637083; 40.0447183959, -37.79319838, -334.004303715, -103.90502966, 44.8086152957, -753.388480914, 899.060768297, -198.465869938, 238.13062677, -236.748203848, -67.4706134849, -68.3361613785, -129.29597567, -252.040968636, -131.326721485, -57.4560278331, -86.0080840184, 225.922957986, 127.295717355, -685.50762569
33.99342858, 197.089945998; 47.1937992597, -20.2287686561, -349.089532213, -109.567423159, 40.9332558804, -756.17206975, 894.306353092, -138.161126723, 298.671446801, -177.400897256, -70.6123954498, -82.5175013475, -129.900260239, -256.120044837, -134.775019728, -57.6529120906, -88.4102445314, 220.117331646, 108.199085562, -689.231038833
14.1474403335, 199.498997321; 61.0580426013, -26.6406218503, -345.410506134, -65.4049617653, 40.7180516098, -743.794046108, 888.762999769, -152.746833972, 276.99602589, -165.74354804, -73.7157838793, -82.1938683764, -128.962716523, -272.56628727, -131.265574838, -54.0605407944, -87.3918242461, 191.784381352, 79.560944587, -688.509773439
-5.83990446026, 199.914720608; 57.9990049266, -30.2320966303, -344.15200521, -68.6501846505, 38.2783540974, -747.503040155, 885.810440815, -156.297022977, 272.576146805, -168.888304426, -77.3902301417, -85.9310111424, -131.737519982, -276.517618092, -134.398502065, -53.3175644008, -90.7496020111, 186.936229096, 78.8392645191, -691.768015452
