199.000833056, 19.9666833294; 7.23516810401, -7560.66966242, -7445.41968382, 122.58638665, -7529.15229095, -251.114761243, -306.271857809, -7480.68628596, 0.421454866453, 9.43547049257, -31.2222477437, -8.92979461604, -18.1833462308, -7.97428737009, -450.677627424, -6.63870888229, -65.6526531341, -77.5599589698, -11.6928508575, -19.3137150528, -28.0617854751, 87.2476358951, -1.04874239763, 78.518754961, -377.849930427, -2.53245549132, -824.658853427, -40570.9251949, -75.1881647314, -54139.2247616, -7793.09900595, -4179.18031939, 0, 0, 0, 0
191.067297825, 59.1040413323; 7.23516810401, -7560.66966242, -7445.41968382, 122.58638665, -7529.15229095, -251.114761243, -306.271857809, -7480.68628596, 0.421454866453, 9.43547049257, -31.2222477437, -8.92979461604, -18.1833462308, -7.97428737009, -450.677627424, -6.63870888229, -65.6526531341, -77.5599589698, -11.6928508575, -29.8137150528, -28.0617854751, 87.2476358951, -1.04874239763, 78.518754961, -377.849930427, -2.53245549132, -824.658853427, -40570.9251949, -75.1881647314, -54139.2247616, -7793.09900595, -4179.18031939, 0, 0, 0, 0
175.516512378, 95.8851077208; -5.31604498092, -5.23092986248, -8.95674391167, -5.29680402158, -8.79113280975, -5.91951933975, -6.98989448696, -5.37452872054, -4.23218177888, 4.06970568689, -4.34434576036, 1.14375555055, -5.34511806129, -5.37979714469, -5.29500473591, -6.98896869051, -5.28642667193, -6.4382944721, 3.50940143457, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, 52.6490928174, -2.53245549132, 56.3927890406, -290.079469103, 94.3512136697, 85.1883905458, 63.6226838615, 1.17585310031, 0, 0, 0, 0
152.968437457, 128.843537448; -5.31604498092, -5.23092986248, -8.95674391167, -5.29680402158, -8.79113280975, -6.96951933975, -6.98989448696, -5.37452872054, -4.23218177888, 4.06970568689, -4.34434576036, 1.14375555055, -5.34511806129, -5.37979714469, -5.29500473591, -6.98896869051, -5.28642667193, -6.4382944721, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, 52.6490928174, -2.53245549132, 56.3927890406, -290.079469103, 94.3512136697, 85.1883905458, 63.6226838615, 1.17585310031, 0, 0, 0, 0
124.321993654, 156.665381925; -5.31604498092, -5.23092986248, -8.95674391167, -5.29680402158, -8.79113280975, -6.96951933975, -6.98989448696, -5.37452872054, -5.28218177888, -6.43029431311, -4.34434576036, 1.14375555055, -5.34511806129, -5.37979714469, -5.29500473591, -6.98896869051, -5.28642667193, -6.4382944721, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, 52.6490928174, -2.53245549132, 56.3927890406, -290.079469103, 94.3512136697, 85.1883905458, 63.6226838615, 1.17585310031, 0, 0, 0, 0
90.7192242851, 178.241472012; -5.31604498092, -5.23092986248, -8.95674391167, -5.29680402158, -8.79113280975, -6.96951933975, -6.98989448696, -5.37452872054, -5.28218177888, -6.43029431311, -5.39434576036, 1.14375555055, -5.34511806129, -5.37979714469, -5.29500473591, -6.98896869051, -5.28642667193, -6.4382944721, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, -6.99059856543, 52.6490928174, -2.53245549132, 56.3927890406, -290.079469103, 94.3512136697, 85.1883905458, 63.6226838615, -1.32414689969, 0, 0, 0, 0
53.4997657249, 192.711637083; -25457.4110677, 4148.80347556, 3822.58081105, -535.955073083, 3584.57158198, -521.806424822, 4248.85859065, -1531.34623398, -2458.89113678, -18412.8165234, 3690.87676374, -663.207631125, 28.1805173273, -227.842289602, -672.689949143, -769.39620406, 310.641918687, -25468.4170185, -10.937078974, 22732.1433952, 12.7081373578, 17.3569253546, -15.1409594045, -54.8017861642, -26.0339151549, -3.13097125372, -26.9658886391, 1245261.97654, -17891.9469033, 156405.326163, -165.740190267, 145952.823112, 0, 0, 1000.0, 1000.0
14.1474403335, 199.498997321; -25457.4110677, 4148.80347556, 3822.58081105, -535.955073083, 3584.57158198, -521.806424822, 4248.85859065, -1541.84623398, -2458.89113678, -18412.8165234, 3690.87676374, -663.207631125, 28.1805173273, -227.842289602, -672.689949143, -769.39620406, 310.641918687, -25468.4170185, -10.937078974, 22732.1433952, 12.7081373578, 17.3569253546, -15.1409594045, -54.8017861642, -26.0339151549, -3.13097125372, -26.9658886391, 1245261.97654, -17891.9469033, 156405.326163, -165.740190267, 145952.823112, 0, 0, 1000.0, 1000.0
-25.7688988591, 198.33296209; -25334.3797988, 3995.99861923, 3814.4358888, -453.825330994, 3921.50434679, -307.445792396, 4351.53895747, -1616.37184135, -2075.88091301, -18306.4647508, 3831.47484333, -426.915023104, -89.8940934684, -192.522038078, -802.793327891, -861.490928463, 240.476894371, -25322.9938525, -60.9820499806, -49.6168945892, -68.9582568784, -39.9067237898, -83.6203708418, -56.4987978174, -26.0339151549, -3.13097125372, -26.9658886391, 1117416.97175, -17891.9469033, 27150.4547339, -165.740190267, 1331.39104722, 0, 0, 1000.0, 1000.0
-64.6579133727, 189.260017537; -25183.1764224, -71.3401755851, -200.677096743, -658.179627896, 210.041149872, -4.84137233189, -190.079470892, 379.988228122, -95.48152116, -18048.2685577, -151.806525192, -315.304175475, -66.0967476616, -178.064768119, -775.704600848, -892.521886087, 214.043039874, -25296.7330558, -89.3672857103, -65.2538387569, -79.3343393065, -50.1557022688, -118.790967474, -59.6520687969, -26.0339151549, -3.13097125372, -26.9658886391, 1071768.83756, -17891.9469033, -19460.0139317, -165.740190267, -45298.0869237, 0, 0, 1000.0, 1000.0
